,extracted_Date,Actual_cpi_ly
0,2023년 11월 14일,
1,2023년 10월 12일,3.70%
2,2023년 09월 13일,3.70%
3,2023년 08월 10일,3.20%
4,2023년 07월 12일,3.00%
5,2023년 06월 13일,4.00%
6,2023년 05월 10일,4.90%
7,2023년 04월 12일,5.00%
8,2023년 03월 14일,6.00%
9,2023년 02월 14일,6.40%
10,2023년 01월 12일,6.50%
11,2022년 12월 13일,7.10%
12,2022년 11월 10일,7.70%
13,2022년 10월 13일,8.20%
14,2022년 09월 13일,8.30%
15,2022년 08월 10일,8.50%
16,2022년 07월 13일,9.10%
17,2022년 06월 10일,8.60%
18,2022년 05월 11일,8.30%
19,2022년 04월 12일,8.50%
20,2022년 03월 10일,7.90%
21,2022년 02월 10일,7.50%
22,2022년 01월 12일,7.00%
23,2021년 12월 10일,6.80%
24,2021년 11월 10일,6.20%
25,2021년 10월 13일,5.40%
26,2021년 09월 14일,5.30%
27,2021년 08월 11일,5.40%
28,2021년 07월 13일,5.40%
29,2021년 06월 10일,5.00%
30,2021년 05월 12일,4.20%
31,2021년 04월 13일,2.60%
32,2021년 03월 10일,1.70%
33,2021년 02월 10일,1.40%
34,2021년 01월 13일,1.40%
35,2020년 12월 10일,1.20%
36,2020년 11월 12일,1.20%
37,2020년 10월 13일,1.40%
38,2020년 09월 11일,1.30%
39,2020년 08월 12일,1.00%
40,2020년 07월 14일,0.60%
41,2020년 06월 10일,0.10%
42,2020년 05월 12일,0.30%
43,2020년 04월 10일,1.50%
44,2020년 03월 11일,2.30%
45,2020년 02월 13일,2.50%
46,2020년 01월 14일,2.30%
47,2019년 12월 11일,2.10%
48,2019년 11월 13일,1.80%
49,2019년 10월 10일,1.70%
50,2019년 09월 12일,1.70%
51,2019년 08월 13일,1.80%
52,2019년 07월 11일,1.60%
53,2019년 06월 12일,1.80%
54,2019년 05월 10일,2.00%
55,2019년 04월 10일,1.90%
56,2019년 03월 12일,1.50%
57,2019년 02월 13일,1.60%
58,2019년 01월 11일,1.90%
59,2018년 12월 12일,2.20%
60,2018년 11월 14일,2.50%
61,2018년 10월 11일,2.30%
62,2018년 09월 13일,2.70%
63,2018년 08월 10일,2.90%
64,2018년 07월 12일,2.90%
65,2018년 06월 12일,2.80%
66,2018년 05월 10일,2.50%
67,2018년 04월 11일,2.40%
68,2018년 03월 13일,2.20%
69,2018년 02월 14일,2.10%
70,2018년 01월 12일,2.10%
71,2017년 12월 13일,2.20%
72,2017년 11월 15일,2.00%
73,2017년 10월 13일,2.20%
74,2017년 09월 14일,1.90%
75,2017년 08월 11일,1.70%
76,2017년 07월 14일,1.60%
77,2017년 06월 14일,1.90%
78,2017년 05월 12일,2.20%
79,2017년 04월 14일,2.40%
80,2017년 03월 15일,2.70%
81,2017년 02월 15일,2.50%
