,extracted_Date,Actual_nonfarm
0,2023년 11월 03일,150K
1,2023년 10월 06일,336K
2,2023년 09월 01일,187K
3,2023년 08월 04일,187K
4,2023년 07월 07일,209K
5,2023년 06월 02일,339K
6,2023년 05월 05일,253K
7,2023년 04월 07일,236K
8,2023년 03월 10일,311K
9,2023년 02월 03일,517K
10,2023년 01월 06일,223K
11,2022년 12월 02일,263K
12,2022년 11월 04일,261K
13,2022년 10월 07일,263K
14,2022년 09월 02일,315K
15,2022년 08월 05일,528K
16,2022년 07월 08일,372K
17,2022년 06월 03일,390K
18,2022년 05월 06일,428K
19,2022년 04월 01일,431K
20,2022년 03월 04일,678K
21,2022년 02월 04일,467K
22,2022년 01월 07일,199K
23,2021년 12월 03일,210K
24,2021년 11월 05일,531K
25,2021년 10월 08일,194K
26,2021년 09월 03일,235K
27,2021년 08월 06일,943K
28,2021년 07월 02일,850K
29,2021년 06월 04일,559K
30,2021년 05월 07일,266K
31,2021년 04월 02일,916K
32,2021년 03월 05일,379K
33,2021년 02월 05일,49K
34,2021년 01월 08일,-140K
35,2020년 12월 04일,245K
36,2020년 11월 06일,638K
37,2020년 10월 02일,661K
38,2020년 09월 04일,"1,371K"
39,2020년 08월 07일,"1,763K"
40,2020년 07월 02일,"4,800K"
41,2020년 06월 05일,"2,509K"
42,2020년 05월 08일,"-20,537K"
43,2020년 04월 03일,-701K
44,2020년 03월 06일,273K
45,2020년 02월 07일,225K
46,2020년 01월 10일,145K
47,2019년 12월 06일,266K
48,2019년 11월 01일,128K
49,2019년 10월 04일,136K
50,2019년 09월 06일,130K
51,2019년 08월 02일,164K
52,2019년 07월 05일,224K
53,2019년 06월 07일,75K
54,2019년 05월 03일,263K
55,2019년 04월 05일,196K
56,2019년 03월 08일,20K
57,2019년 02월 01일,304K
58,2019년 01월 04일,312K
59,2018년 12월 07일,155K
60,2018년 11월 02일,250K
61,2018년 10월 05일,134K
62,2018년 09월 07일,201K
63,2018년 08월 03일,157K
64,2018년 07월 06일,213K
65,2018년 06월 01일,223K
66,2018년 05월 04일,164K
67,2018년 04월 06일,103K
68,2018년 03월 09일,313K
69,2018년 02월 02일,200K
70,2018년 01월 05일,148K
71,2017년 12월 08일,228K
72,2017년 11월 03일,261K
73,2017년 10월 06일,-33K
74,2017년 09월 01일,156K
75,2017년 08월 04일,209K
76,2017년 07월 07일,222K
77,2017년 06월 02일,138K
78,2017년 05월 05일,211K
79,2017년 04월 07일,98K
80,2017년 03월 10일,235K
81,2017년 02월 03일,227K
82,2017년 01월 06일,156K
83,2016년 12월 02일,178K
84,2016년 11월 04일,161K
